index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
3248;25-29;Man;Colombia;Master’s degree;Data Analyst;5-10 years;C;A personal computer or laptop;Never;3-4 years;250-999 employees;1-2;No (we do not use ML methods);5,000-7,499;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3249;22-24;Woman;Bangladesh;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;6-25 times;;;;;;;;;
3250;35-39;Man;Sweden;Master’s degree;Data Scientist;5-10 years;R;A personal computer or laptop;Never;5-10 years;1000-9,999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$100,000 or more ($USD);Microsoft SQL Server ;;Advanced statistical software (SPSS, SAS, etc.)
3251;30-34;Man;India;Bachelor’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);25,000-29,999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
3252;25-29;Man;Indonesia;No formal education past high school;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;;;;;;;;
3253;25-29;Man;United States of America;Doctoral degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;0;We use ML methods for generating insights (but do not put working models into production);80,000-89,999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
3254;25-29;Man;Pakistan;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$10,000-$99,999;Google Cloud BigQuery ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3255;70+;Man;Russia;Master’s degree;Data Scientist;;;;;;;;;;;;;
3256;25-29;Man;Taiwan;Master’s degree;Data Engineer;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);15,000-19,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
3257;18-21;Man;India;Bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Once;Under 1 year;;;;;;;;
3258;35-39;Man;Brazil;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);1,000-1,999;$1-$99;;Other;Local development environments (RStudio, JupyterLab, etc.)
3259;30-34;Man;United States of America;Some college/university study without earning a bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;2-5 times;1-2 years;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$100-$999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
3260;30-34;Man;Viet Nam;I prefer not to answer;Data Analyst;I have never written code;;;;;0-49 employees;1-2;No (we do not use ML methods);$0-999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3261;30-34;Man;Brazil;Master’s degree;Data Analyst;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;250-999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;$1000-$9,999;Microsoft SQL Server ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
3262;22-24;Man;Greece;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$100-$999;Microsoft Azure Data Lake Storage ;;Local development environments (RStudio, JupyterLab, etc.)
3263;30-34;Man;Japan;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Once;3-4 years;0-49 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
3264;40-44;Man;Other;I prefer not to answer;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;5-10 years;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
3265;22-24;Man;Other;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;5-9;I do not know;50,000-59,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
3266;45-49;Man;Brazil;Master’s degree;Data Scientist;10-20 years;Other;A personal computer or laptop;6-25 times;2-3 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;$1000-$9,999;MongoDB ;Qlik;Advanced statistical software (SPSS, SAS, etc.)
3267;35-39;Man;Germany;Master’s degree;Data Scientist;10-20 years;R;A personal computer or laptop;Never;5-10 years;10,000 or more employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
3268;25-29;Man;Germany;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;5-9;I do not know;$0-999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3269;45-49;Man;India;Master’s degree;Data Scientist;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;10,000 or more employees;20+;I do not know;7,500-9,999;$100-$999;Microsoft SQL Server ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
3270;25-29;Man;Russia;Master’s degree;Data Analyst;5-10 years;C++;A personal computer or laptop;Never;2-3 years;0-49 employees;0;No (we do not use ML methods);;;;;
3271;30-34;Man;United States of America;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);200,000-249,999;$100,000 or more ($USD);Snowflake ;;Local development environments (RStudio, JupyterLab, etc.)
3272;40-44;Man;Viet Nam;Doctoral degree;Data Analyst;10-20 years;Python;A personal computer or laptop;6-25 times;5-10 years;250-999 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$10,000-$99,999;Microsoft SQL Server ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
3273;25-29;Man;Tunisia;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;2-5 times;1-2 years;1000-9,999 employees;3-4;We use ML methods for generating insights (but do not put working models into production);5,000-7,499;$1000-$9,999;Google Cloud BigQuery ;Google Data Studio;Local development environments (RStudio, JupyterLab, etc.)
3274;22-24;Man;India;Master’s degree;Data Engineer;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;0;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3275;30-34;Man;Nigeria;Master’s degree;Data Analyst;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;Under 1 year;50-249 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$1-$99;MySQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3276;30-34;Man;United Kingdom of Great Britain and Northern Ireland;Doctoral degree;Data Scientist;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;10,000 or more employees;15-19;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$100,000 or more ($USD);;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
3277;25-29;Man;Japan;Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;1-2 years;50-249 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);50,000-59,999;$1-$99;Google Cloud BigQuery ;;Local development environments (RStudio, JupyterLab, etc.)
3278;18-21;Man;India;Bachelor’s degree;Data Analyst;1-2 years;R;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$100-$999;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3279;30-34;Man;India;Bachelor’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Once;4-5 years;10,000 or more employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$1-$99;Oracle Database ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
3280;30-34;Man;Spain;Doctoral degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;0-49 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$10,000-$99,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
3281;22-24;Woman;India;Master’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;5-9;We use ML methods for generating insights (but do not put working models into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3282;35-39;Man;United States of America;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;4-5 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
3283;22-24;Woman;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Once;1-2 years;10,000 or more employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$1-$99;Microsoft SQL Server ;Tableau;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3284;18-21;Woman;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Other
3285;22-24;Woman;Nigeria;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3286;25-29;Man;India;Bachelor’s degree;Data Engineer;I have never written code;;;;;10,000 or more employees;20+;I do not know;10,000-14,999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3287;30-34;Man;South Africa;Master’s degree;Data Scientist;5-10 years;Python;Other;Never;5-10 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3288;45-49;Man;Russia;Master’s degree;Data Scientist;5-10 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);90,000-99,999;$100-$999;Other;;Local development environments (RStudio, JupyterLab, etc.)
3289;22-24;Woman;Russia;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;20+;We use ML methods for generating insights (but do not put working models into production);7,500-9,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3290;45-49;Man;Russia;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;20+;No (we do not use ML methods);40,000-49,999;$1000-$9,999;MySQL ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
3291;30-34;Man;South Korea;Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;;;;;;;;;
3292;18-21;Man;Indonesia;Bachelor’s degree;Machine Learning Engineer;I have never written code;;;;;0-49 employees;0;I do not know;;;;;
3293;35-39;Woman;India;Professional degree;Data Analyst;3-5 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;3-4;;;;;;
3294;30-34;Man;Japan;Master’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;More than 25 times;3-4 years;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$1000-$9,999;Google Cloud BigQuery ;;Local development environments (RStudio, JupyterLab, etc.)
3295;25-29;Man;Indonesia;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;50-249 employees;1-2;No (we do not use ML methods);5,000-7,499;$100-$999;PostgresSQL ;Tableau;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3296;35-39;Man;Ukraine;Some college/university study without earning a bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;No (we do not use ML methods);1,000-1,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3297;35-39;Man;Japan;Professional degree;Data Scientist;3-5 years;Python;A personal computer or laptop;2-5 times;Under 1 year;1000-9,999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3298;35-39;Man;India;Professional degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;;;;;;;;;
3299;30-34;Woman;Brazil;Bachelor’s degree;Data Engineer;3-5 years;SQL;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Once;Under 1 year;50-249 employees;5-9;We use ML methods for generating insights (but do not put working models into production);1,000-1,999;$1-$99;PostgresSQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3300;25-29;Man;Nigeria;Some college/university study without earning a bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3301;30-34;Man;Russia;Master’s degree;Machine Learning Engineer;20+ years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;50-249 employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;$1000-$9,999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
3302;25-29;Man;India;Bachelor’s degree;Data Engineer;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;0;We are exploring ML methods (and may one day put a model into production);10,000-14,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3303;25-29;Man;France;Master’s degree;Machine Learning Engineer;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3304;30-34;Man;Other;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;10,000 or more employees;20+;We are exploring ML methods (and may one day put a model into production);50,000-59,999;$1-$99;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3305;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;5-9;I do not know;$0-999;$0 ($USD);;;
3306;22-24;Prefer not to say;Australia;Master’s degree;Machine Learning Engineer;< 1 years;Python;None;Never;I do not use machine learning methods;0-49 employees;0;I do not know;$0-999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3307;25-29;Man;United Arab Emirates;Master’s degree;Data Analyst;I have never written code;;;;;1000-9,999 employees;3-4;I do not know;$0-999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3308;35-39;Man;Italy;Doctoral degree;Data Scientist;20+ years;Python;Other;Never;5-10 years;10,000 or more employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$10,000-$99,999;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3309;18-21;Woman;India;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;0;We are exploring ML methods (and may one day put a model into production);1,000-1,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3310;35-39;Man;India;Master’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;5-10 years;0-49 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$1000-$9,999;;Other;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
3311;35-39;Man;Peru;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;0;No (we do not use ML methods);$0-999;$1-$99;Google Cloud SQL ;Google Data Studio;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3312;25-29;Man;United States of America;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);80,000-89,999;$100,000 or more ($USD);Microsoft SQL Server ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3313;60-69;Man;United States of America;Master’s degree;Data Engineer;20+ years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;20+;We use ML methods for generating insights (but do not put working models into production);100,000-124,999;$10,000-$99,999;Amazon Redshift ;TIBCO Spotfire;Advanced statistical software (SPSS, SAS, etc.)
3314;50-54;Man;France;Doctoral degree;Data Scientist;;;;;;;;;;;;;
3315;22-24;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;
3316;25-29;Man;Mexico;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;10-14;We are exploring ML methods (and may one day put a model into production);1,000-1,999;$1000-$9,999;Amazon Redshift ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3317;22-24;Woman;India;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;
3318;25-29;Man;Turkey;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;Under 1 year;50-249 employees;1-2;I do not know;$0-999;$100-$999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
3319;22-24;Woman;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;0;;;;;;
3320;25-29;Man;United States of America;Master’s degree;Data Analyst;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;1-2 years;50-249 employees;3-4;We are exploring ML methods (and may one day put a model into production);60,000-69,999;$1000-$9,999;Microsoft Azure Data Lake Storage ;Microsoft Power BI;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3321;22-24;Man;Indonesia;Master’s degree;Data Scientist;< 1 years;Java;A personal computer or laptop;2-5 times;Under 1 year;0-49 employees;20+;I do not know;;;;;
3322;40-44;Man;Brazil;Master’s degree;Data Scientist;20+ years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;1-2 years;1000-9,999 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3323;25-29;Man;Egypt;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;10-14;We are exploring ML methods (and may one day put a model into production);4,000-4,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3324;25-29;Man;India;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;2-5 times;4-5 years;250-999 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$1000-$9,999;Microsoft SQL Server ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
3325;25-29;Man;India;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);10,000-14,999;$0 ($USD);;;
3326;45-49;Man;United States of America;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;2-5 times;Under 1 year;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);100,000-124,999;$1000-$9,999;MySQL ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3327;22-24;Man;China;Master’s degree;Machine Learning Engineer;< 1 years;Java;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;Under 1 year;1000-9,999 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;$100,000 or more ($USD);MySQL ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
3328;25-29;Man;United States of America;Bachelor’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Once;1-2 years;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);$0-999;$10,000-$99,999;Microsoft SQL Server ;Google Data Studio;Advanced statistical software (SPSS, SAS, etc.)
3329;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;
3330;22-24;Man;Russia;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;50-249 employees;3-4;No (we do not use ML methods);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3331;35-39;Man;United States of America;Master’s degree;Data Scientist;5-10 years;Other;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;5-10 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$10,000-$99,999;;;Advanced statistical software (SPSS, SAS, etc.)
3332;60-69;Woman;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);25,000-29,999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3333;25-29;Man;Russia;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;3-4;We are exploring ML methods (and may one day put a model into production);15,000-19,999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3334;18-21;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;;;;;;;;;
3335;35-39;Man;Other;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;3-4 years;0-49 employees;1-2;No (we do not use ML methods);2,000-2,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3336;22-24;Man;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);3,000-3,999;$1000-$9,999;PostgresSQL ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
3337;40-44;Man;Chile;Professional degree;Data Engineer;1-2 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);2-5 times;Under 1 year;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;$1000-$9,999;Oracle Database ;Other;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
3338;25-29;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Other;A personal computer or laptop;2-5 times;Under 1 year;0-49 employees;3-4;No (we do not use ML methods);125,000-149,999;$100,000 or more ($USD);Google Cloud Firestore ;Tableau;Advanced statistical software (SPSS, SAS, etc.)
3339;25-29;Man;Taiwan;Master’s degree;Data Scientist;5-10 years;SQL;A personal computer or laptop;Never;2-3 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;$1-$99;;;Advanced statistical software (SPSS, SAS, etc.)
3340;35-39;Man;Other;Some college/university study without earning a bachelor’s degree;Data Engineer;10-20 years;R;A personal computer or laptop;Never;1-2 years;50-249 employees;5-9;We are exploring ML methods (and may one day put a model into production);80,000-89,999;$10,000-$99,999;Other;Other;Local development environments (RStudio, JupyterLab, etc.)
3341;30-34;Man;China;Master’s degree;Machine Learning Engineer;3-5 years;MATLAB;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;2-3 years;50-249 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3342;45-49;Man;Spain;Bachelor’s degree;Data Analyst;10-20 years;Python;A personal computer or laptop;2-5 times;10-20 years;1000-9,999 employees;20+;We use ML methods for generating insights (but do not put working models into production);30,000-39,999;$1-$99;PostgresSQL ;Qlik;Advanced statistical software (SPSS, SAS, etc.)
3343;22-24;Man;India;Master’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;2-3 years;250-999 employees;20+;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$1000-$9,999;Microsoft SQL Server ;;
3344;30-34;Man;Belgium;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;6-25 times;5-10 years;1000-9,999 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);70,000-79,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3345;30-34;Man;South Korea;Master’s degree;Data Analyst;< 1 years;SQL;A personal computer or laptop;Never;Under 1 year;250-999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3346;25-29;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;10-20 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;4-5 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$100,000 or more ($USD);MongoDB ;;Local development environments (RStudio, JupyterLab, etc.)
3347;22-24;Woman;India;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;2-3 years;50-249 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3348;18-21;Man;Indonesia;Bachelor’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);30,000-39,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3349;18-21;Woman;China;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Once;1-2 years;250-999 employees;20+;I do not know;$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3350;30-34;Woman;United States of America;Doctoral degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);1,000-1,999;;;;
3351;18-21;Man;Nigeria;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3352;25-29;Man;Russia;Master’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Never;5-10 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);5,000-7,499;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3353;40-44;Man;India;I prefer not to answer;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;2-3 years;0-49 employees;1-2;No (we do not use ML methods);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
